Bairro,Quartos,Banheiros,Metros Quadrados,Idade Predio,Jardim,Garagem,Andares,Vista,Estado Predio,Preco (£),Tipo Imovel_Detached House,Tipo Imovel_Semi-Detached,Tipo Aquecimento_Electric Heating,Tipo Aquecimento_Gas Heating,Tipo Aquecimento_Underfloor Heating,Varanda_Low-level Balcony,Varanda_No Balcony,Materiais_Laminate Flooring,Materiais_Marble,Materiais_Wood,Estilo Interior_Industrial,Estilo Interior_Minimalist,Estilo Interior_Modern
1957530.1587836633,2,3,179,72,0,0,3,1830933.7961990314,1.0,2291200,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2291252.17166484,2,1,123,34,1,0,1,1912561.396328897,0.0,1476000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1781150.6260902958,5,3,168,38,0,1,3,1816293.2844578985,1.0,1881600,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1507524.1155518438,5,1,237,53,1,1,1,1765154.3733213572,1.0,1896000,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1824983.7475390674,4,1,127,23,0,1,2,1765154.3733213572,0.0,1524000,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1957530.1587836633,5,2,69,69,1,1,2,1765154.3733213572,1.0,736000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1781150.6260902958,3,3,128,24,1,0,2,1878492.504550762,0.0,1194666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2282196.407549343,5,2,130,88,1,0,1,1912561.396328897,1.0,1646666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1269667.4420759259,5,1,76,2,0,1,3,1878492.504550762,2.0,506666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2282196.407549343,4,2,59,79,0,0,3,1816293.2844578985,0.0,896799,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1269667.4420759259,5,1,235,49,0,1,1,1878492.504550762,1.0,2350000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1824983.7475390674,1,3,203,94,0,1,1,1878492.504550762,2.0,2436000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2282196.407549343,5,1,171,1,1,0,2,1912561.396328897,2.0,2599200,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1781150.6260902958,2,3,111,14,0,1,3,1830933.7961990314,1.0,1243200,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1269667.4420759259,5,3,73,74,1,0,3,1878492.504550762,2.0,584000,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2282196.407549343,2,1,101,46,0,1,1,1816293.2844578985,0.0,1535199,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1333340.3054610975,5,3,81,25,1,1,1,1830933.7961990314,0.0,891000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1507524.1155518438,1,1,211,51,1,1,3,1765154.3733213572,1.0,1688000,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1957530.1587836633,2,2,123,53,1,0,1,1765154.3733213572,2.0,1574400,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1269667.4420759259,2,3,95,84,1,1,1,1878492.504550762,1.0,950000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1333340.3054610975,2,1,74,46,0,0,1,1765154.3733213572,1.0,651199,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1957530.1587836633,4,1,118,95,1,0,1,1878492.504550762,1.0,1258666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1957530.1587836633,1,2,197,78,0,1,1,1830933.7961990314,2.0,3151999,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1507524.1155518438,2,1,177,55,0,0,1,1878492.504550762,1.0,1416000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1507524.1155518438,5,2,102,21,0,0,3,1878492.504550762,1.0,1224000,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2291252.17166484,2,3,161,25,0,0,3,1878492.504550762,2.0,2898000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1781150.6260902958,3,1,156,84,1,0,1,1816293.2844578985,1.0,1456000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1507524.1155518438,2,3,179,5,0,1,1,1816293.2844578985,2.0,2148000,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2282196.407549343,5,2,137,8,1,0,1,1765154.3733213572,2.0,1735333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2291252.17166484,4,2,127,59,0,0,1,1816293.2844578985,2.0,1828800,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1957530.1587836633,2,2,65,93,1,0,3,1765154.3733213572,2.0,831999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1957530.1587836633,1,1,103,30,1,1,3,1816293.2844578985,0.0,1318399,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2282196.407549343,4,2,188,20,0,1,2,1878492.504550762,2.0,2381333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1626371.6486530523,4,2,199,41,1,1,1,1878492.504550762,1.0,2069599,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1781150.6260902958,2,2,99,68,1,1,3,1830933.7961990314,1.0,1386000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1824983.7475390674,5,1,119,43,0,1,3,1765154.3733213572,1.0,1785000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1507524.1155518438,1,2,150,34,1,0,1,1765154.3733213572,1.0,1440000,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1626371.6486530523,4,1,170,45,0,1,1,1830933.7961990314,0.0,1473333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1269667.4420759259,1,3,222,20,1,0,2,1878492.504550762,1.0,1776000,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1781150.6260902958,2,2,187,53,1,0,3,1878492.504550762,0.0,1745333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2291252.17166484,3,2,85,59,0,1,1,1912561.396328897,1.0,1224000,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2282196.407549343,2,2,70,96,1,0,1,1878492.504550762,0.0,1064000,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1781150.6260902958,5,3,54,4,0,0,3,1878492.504550762,2.0,756000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2282196.407549343,3,2,172,11,0,0,2,1816293.2844578985,0.0,2178666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1824983.7475390674,3,2,102,36,1,1,2,1878492.504550762,0.0,1530000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1824983.7475390674,4,3,60,5,0,0,1,1912561.396328897,0.0,900000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2452519.6210561837,2,1,178,93,0,1,1,1765154.3733213572,1.0,2848000,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1269667.4420759259,2,1,88,57,0,0,3,1912561.396328897,1.0,586666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1957530.1587836633,2,1,115,68,1,0,1,1878492.504550762,2.0,1839999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1824983.7475390674,4,2,64,88,0,0,2,1816293.2844578985,0.0,640000,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1626371.6486530523,3,1,178,47,1,1,3,1765154.3733213572,1.0,1851199,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2291252.17166484,5,1,81,96,1,0,1,1816293.2844578985,0.0,1458000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1269667.4420759259,3,3,224,78,1,1,1,1878492.504550762,0.0,1493333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2452519.6210561837,5,2,74,79,1,0,3,1830933.7961990314,2.0,986666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2291252.17166484,3,3,88,86,0,1,3,1912561.396328897,2.0,1267200,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2291252.17166484,1,2,208,87,1,0,3,1765154.3733213572,2.0,2496000,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2282196.407549343,3,1,140,40,1,1,3,1830933.7961990314,2.0,2128000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1781150.6260902958,1,2,208,67,1,0,2,1830933.7961990314,1.0,2912000,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1626371.6486530523,4,2,194,84,1,1,1,1765154.3733213572,1.0,2017599,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1957530.1587836633,4,1,94,25,1,1,1,1912561.396328897,1.0,1504000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1626371.6486530523,4,2,71,19,0,0,3,1765154.3733213572,2.0,615333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2282196.407549343,4,2,202,7,1,1,1,1878492.504550762,2.0,2558666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2452519.6210561837,4,2,86,1,0,0,3,1816293.2844578985,1.0,1146666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2282196.407549343,4,2,56,82,1,1,3,1830933.7961990314,0.0,709333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1507524.1155518438,2,1,201,42,0,1,3,1830933.7961990314,2.0,1929600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1269667.4420759259,3,2,82,49,1,1,1,1830933.7961990314,2.0,820000,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1333340.3054610975,2,1,246,34,0,0,3,1830933.7961990314,1.0,2706000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1957530.1587836633,2,1,202,51,0,1,2,1765154.3733213572,0.0,3232000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2282196.407549343,3,3,192,91,0,0,1,1765154.3733213572,0.0,3648000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1824983.7475390674,2,1,171,21,0,0,1,1878492.504550762,0.0,2565000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1507524.1155518438,1,2,206,11,0,1,2,1830933.7961990314,1.0,1648000,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1957530.1587836633,3,3,51,4,0,1,2,1878492.504550762,2.0,816000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2282196.407549343,2,3,200,58,0,0,2,1878492.504550762,0.0,2533333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2452519.6210561837,5,3,58,6,0,1,3,1816293.2844578985,2.0,928000,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1781150.6260902958,4,2,231,31,1,1,2,1912561.396328897,0.0,2587200,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
